inputVarName,source,type,identifier,sourceField,secret
NA,NA,networkFoundation,NA,NA,NA
subscriptionId,generatedAzureKeys.yaml,NA,name,subscriptionId,yes
tenantId,generatedAzureKeys.yaml,NA,name,tenantId,yes
clientId,generatedAzureKeys.yaml,NA,name,clientId,yes
clientSecret,generatedAzureKeys.yaml,NA,name,clientSecret,yes
resourceGroupName,infrastructureConfig.yaml,networkFoundation,instance,resourceGroupName,no
resourceGroupRegion,infrastructureConfig.yaml,networkFoundation,instance,resourceGroupRegion,no
